运单号,账单日期,结算对象,目的地,城市,结算重量,派件网点,签收网点,签收时间,客户运费
7515123,2019/6/1,吉林省明日科技有限公司,河北省,秦皇岛市,0.85,秦皇岛,秦皇岛,2019/6/3 13:31,10
7515124,2019/6/1,吉林省明日科技有限公司,上海,上海市,1.15,杨浦,杨浦,2019/6/3 19:58,10
7515125,2019/6/1,吉林省明日科技有限公司,吉林省,长春市,2.9,长春高新五部,长春高新五部,2019/6/3 16:40,10
7515126,2019/6/1,吉林省明日科技有限公司,湖北省,武汉市,0.8,武昌鲁巷,武昌鲁巷,2019/6/3 21:04,10
7515127,2019/6/1,吉林省明日科技有限公司,上海,上海市,0.4,浦东金桥,浦东金桥,2019/6/3 19:29,10
7515128,2019/6/1,吉林省明日科技有限公司,江苏省,无锡市,0.85,宜兴市区七部,宜兴市区七部,2019/6/3 17:03,10
7515129,2019/6/3,吉林省明日科技有限公司,广东省,中山市,0.5,中山火炬,中山火炬,2019/6/6 18:33,10
7515130,2019/6/3,吉林省明日科技有限公司,广东省,佛山市,1.75,南海黄岐B,南海黄岐B,2019/6/6 18:30,10
7515131,2019/6/12,明日科技,吉林省,长春市,3,长春二道,长春二道,2019/6/15,5
7515132,2019/6/12,明日科技,吉林省,四平市,2,长春二道,长春二道,2019/6/15,6
